text,departmentName,Contact
"Ambulance services respond to heart attacks, severe injuries, unconscious persons, and life-threatening medical emergencies.",Medical Emergency,"102, 022-226218555"
"Emergency medical teams provide rapid assistance for accidents, allergic reactions, and critical illnesses requiring immediate care.",Medical Emergency,"102, 022-226218555"
"Mumbai Fire Brigade handles house fires, industrial fires, gas leaks, explosions, and other fire-related emergencies.",Fire / Explosion,"101, 022-226218554"
"Firefighters respond to chemical spills, fire outbreaks in residential or commercial buildings, and rescue operations during fire emergencies.",Fire / Explosion,"101, 022-226218554"
"Mumbai Police maintains law enforcement, prevents crimes, and responds to robbery, assault, or other criminal activities.",Crime / Police Emergency,"100, 112, 022-226218553"
"Police emergency units handle domestic violence, theft, and public safety threats across the city.",Crime / Police Emergency,"100, 112, 022-226218553"
"Traffic Police manages road safety, responds to vehicle collisions, pedestrian accidents, and traffic rule violations.",Traffic / Road Accident,"103, 022-226218556"
"Traffic control units attend to accidents, road hazards, and coordinate emergency response for injured people on roads.",Traffic / Road Accident,"103, 022-226218556"
"Disaster Management Authority coordinates responses to floods, cyclones, earthquakes, landslides, and other environmental hazards.",Natural Disaster / Environmental Hazard,"104, 022-226218557"
"Emergency management teams handle evacuations, relief operations, and public safety during natural disasters or severe weather events.",Natural Disaster / Environmental Hazard,"104, 022-226218557"
